drug_name,test_sample_count,test_mae,test_rmse,test_mse,test_pearson,test_spearman,test_r2,test_original_mae,test_original_rmse
KIN001-266,26,0.019044151672950156,0.024301276748194572,0.0005905520515923421,0.6791767684368331,0.7333333333333333,0.3487740481485372,0.78923577380588,1.010704853178601
KIN001-270,24,0.01913756380478541,0.022723012228351082,0.0005163352847297927,0.9262616536184003,0.9121739130434783,0.06038381105468105,0.8147805608475903,0.9726790463012408
KU-55933,22,0.01557927510955117,0.019631544598950668,0.00038539754334058915,0.4924151061380338,0.5064935064935067,-0.3740470486296885,0.6485744921607108,0.820341411185755
LFM-A13,22,0.023479244925759056,0.025052215998055398,0.0006276135264132228,0.5138371241046924,0.5697346132128742,-0.5577328385069558,0.9854561078202383,1.0536824530220552
Lapatinib,12,0.01525762677192688,0.018817294001988828,0.0003540905535572847,0.5351370767559704,0.6853146853146854,0.17043995599607875,0.6198032768118206,0.7633848613909363
Lenalidomide,24,0.015223254760106405,0.01773047155530337,0.0003143696215734219,0.7233418112920914,0.7382608695652173,-0.22537013557391883,0.6340957559447443,0.738907004773999
Linifanib,25,0.01827757716178894,0.028578536653561182,0.00081673275725894,0.6685570577710225,0.5930769230769232,0.3522164217184933,0.7397028032480989,1.1560846070218638
Linsitinib,25,0.02730719804763794,0.035866987522931576,0.0012864407939701295,0.42217832785721904,0.6315384615384615,0.14929253785522878,1.1039849702919822,1.4456100426248564
Luminespib,28,0.020517034190041677,0.029821070650976597,0.0008892962547705377,0.7262479930961703,0.7493158182813355,0.479182759343342,0.8384729681104304,1.2115596992129156
MG-132,9,0.026069021887249418,0.0327431772233069,0.0010721156546768837,0.573758489903583,0.48333333333333334,0.1627103416047374,1.045861619145912,1.3132452410923683
MK-2206,24,0.025882954398790996,0.031021734777158697,0.0009623480285843774,0.5293439425584758,0.4730434782608695,0.26435369891828486,1.0503394722211368,1.261528946925741
MPS-1-IN-1,24,0.021248164276281994,0.024948276453251247,0.0006224164979878507,0.6550131681115029,0.6330434782608695,0.34595150275932574,0.8827933716802331,1.0398614642772273
Masitinib,27,0.02125161775836238,0.027744761010978117,0.0007697717635562916,0.8421780472993934,0.7924297924297924,0.3708035254507438,0.8879010551257872,1.1584021580622708
Methotrexate,23,0.027603026317513508,0.03074453442554106,0.0009452263970432794,0.6010774349753332,0.4505928853754941,0.3299251894541092,1.1090593607767332,1.2351204512771765
Midostaurin,29,0.016454857998880846,0.02025037338103097,0.00041007762207116765,0.6873487575599042,0.7201970443349752,0.449059904876251,0.6602804399878085,0.8132101800188111
Mitomycin-C,26,0.022280030525647677,0.028007505197023403,0.0007844203473612929,0.6276528866747536,0.6020512820512819,0.2445367271819089,0.8937942542677108,1.123015016010473
Motesanib,23,0.013767079166744066,0.016897408024011337,0.0002855223979299227,0.5895910551838656,0.5079051383399209,0.06687531128700686,0.5629351941927734,0.6910319859718631
NG-25,31,0.029692676759535266,0.04454240489298688,0.0019840258336507816,0.8310499228407571,0.8037100555009238,0.4715338189125523,1.212321456675587,1.8138398496479478
NPK76-II-72-1,29,0.02032884955406189,0.02664683413016464,0.0007100537691605071,0.7316042231074592,0.7290640394088669,0.4840595453670955,0.8353725455971887,1.0924108546547935
NSC-207895,27,0.03097948321589717,0.03565820414614151,0.0012715075229279035,0.5853858889850521,0.5677655677655677,0.07685457652803407,1.292308485678372,1.4885608677522635
NSC-87877,29,0.025400241901134622,0.02880098931713394,0.0008294969856456633,0.41117551044524064,0.42807881773399004,-1.2965964835992305,1.0765721050465316,1.2247806095384426
NU7441,27,0.016227556599511042,0.0201316035209062,0.000405281460322963,0.4771455927354576,0.5525030525030524,0.17761351767500455,0.6592418704352064,0.8161833385029023
NVP-BHG712,24,0.018518952031930287,0.02253532043064119,0.0005078406669116742,0.9025434600349126,0.8678260869565216,0.7712832182918549,0.7653902531875375,0.9309524645425588
NVP-TAE684,15,0.031085878610610962,0.03422221337139847,0.0011711598880375243,0.4673504590957374,0.4464285714285714,-0.32644901745037425,1.2473790865065462,1.3726135046601349
Navitoclax,18,0.03211117287476858,0.03923723244494486,0.001539560409938634,0.2969649130537785,0.21568627450980388,-0.565283370980586,1.293241264387712,1.5778635314407297
Nilotinib,24,0.015983063727617264,0.022504000493282248,0.0005064300382016477,0.5989204359146586,0.6960765057857802,0.2577499833442767,0.6495077993540872,0.908231476283092
OSI-027,25,0.029830621480941774,0.037487656084754246,0.0014053243587288122,0.7664356517191263,0.8538461538461539,0.541202451939728,1.2093294075611494,1.5242219758001978
OSI-930,27,0.02233730642883866,0.025499577808291932,0.0006502284684011344,0.6769229015966385,0.5457875457875457,-0.059230328624438444,0.9357819983121035,1.0710350982370145
OSU-03012,22,0.016808588396419178,0.022955504798402752,0.0005269552005494918,0.7468322775063613,0.7470355731225299,0.4881909936797566,0.6865439951712337,0.9431140973694403
Obatoclax Mesylate,20,0.023315243422985077,0.028943045225193635,0.0008376998669076041,0.6666304695021134,0.7172932330827068,0.44000540534066124,0.9418322520593023,1.173949843899552
Olaparib,51,0.02354813673916985,0.027256579011791914,0.0007429210994260555,0.5466754374841043,0.5584615384615383,0.17757356002428082,0.9722754811107617,1.1241941456630666
Omipalisib,38,0.026767237406027943,0.03416595628488558,0.0011673125688607122,0.7017981368894793,0.6634205055257687,0.4156432629508511,1.104976676009692,1.4165824058202512
PAC-1,30,0.018388949831326804,0.02292431928155945,0.0005255244145228785,0.6189451724562013,0.5584603438717923,0.34830219048068867,0.7474295970063671,0.929448836935474
PD0325901,30,0.02482586403687795,0.03177906380943164,0.0010099088966039282,0.605329920847054,0.6133481646273637,0.25724798599917265,1.0003562742985546,1.2814485298714493
PD173074,36,0.017891607350773282,0.024255196518856242,0.0005883145581683359,0.22427562649713395,0.23397683397683397,-0.029376872507897556,0.7268001197069641,0.9827092795026783
PF-4708671,34,0.01923261319889742,0.023261942431818276,0.0005411179657012276,0.4593149867190637,0.44385026737967914,-0.4142868390517902,0.8017918184762653,0.9739863056120375
PF-562271,21,0.013565477870759509,0.01617989375154655,0.00026178896181133516,0.8596746502042163,0.8168831168831169,0.7016760692777678,0.5523662299025522,0.6610511695091159
PFI-1,29,0.01541145711109556,0.021743979653418937,0.0004728006511682967,0.2555308730705365,0.10443349753694578,0.03448738252867445,0.6290733024313613,0.8922864484482551
PHA-665752,8,0.009127967059612274,0.012415250455151438,0.000154138443864138,0.7917638212464448,0.6428571428571429,0.5737249045123052,0.37199260431783154,0.5055386146345416
PHA-793887,21,0.02604571268672035,0.03313201975699493,0.0010977307331779024,0.7166898870570658,0.7753246753246753,0.5100917302422825,1.0596501864359285,1.3463600023089919
PI-103,30,0.03503029445807139,0.04217066755432902,0.0017783652019777384,0.7123802390542671,0.7268075639599554,0.48380191641275294,1.417536918911808,1.7045374545067524
PIK-93,21,0.01484152390843346,0.019251612084309068,0.000370624567844715,0.8639871692197465,0.8441558441558441,0.6982563927600862,0.6122310769701665,0.8004293474621883
PLX-4720,64,0.021325519774109125,0.02460287973117619,0.0006053016910667203,0.8668099954185077,0.6268759233065708,0.39113269347097224,0.8862904432249402,1.0241073028628125
Paclitaxel,14,0.030582198074885776,0.034644482788996504,0.0012002401877170752,0.5706024441190078,0.5516483516483517,0.297560062835194,1.250732528787847,1.418213796438292
Palbociclib,32,0.033003137446939945,0.03965021509375475,0.001572139556981017,0.286820349745673,0.39127248688685945,0.04836985934079452,1.3397163696485002,1.6064382313652765
Parthenolide,15,0.020070815086364747,0.023787088690520545,0.0005658255883706904,0.7298042468764544,0.6785714285714285,0.45475764271704566,0.8247183501173725,0.9797666361143933
Pazopanib,37,0.023274737435418205,0.03134728682787462,0.0009826523914690417,0.3545322752304439,0.3781412991939307,0.06355997567401617,0.948255645391692,1.272439001274978
Pelitinib,27,0.025428768661287095,0.03617728016568846,0.0013087956001867156,0.5834216267921477,0.5525030525030524,0.31021862443429715,1.0300038869144126,1.4660300140579743
Pevonedistat,26,0.03237534257081839,0.0390629289925758,0.0015259124214790194,0.3993924835762019,0.4523076923076923,0.07352755075846862,1.3025550508929238,1.5715588824756053
Phenformin,36,0.049600884318351746,0.05681345059810833,0.003227768168863696,0.6127901290935259,0.5845559845559846,-1.0779767426775693,2.2328152130971577,2.595407368155662
Pictilisib,56,0.025688630661794117,0.033830306583202394,0.0011444896435134672,0.1540058471319971,0.10977443609022558,-0.2266336570123999,1.0320131591089141,1.3591487171263603
Piperlongumine,29,0.011943132712923247,0.01653628232120246,0.000273448633006513,0.5727721945505968,0.6507389162561574,0.21140266595216162,0.4832881515894937,0.6703214405964967
Ponatinib,29,0.01776417062200349,0.02356373880732562,0.0005552497865798635,0.7876043630588412,0.7384236453201969,0.5299003493958127,0.7140719543440333,0.9463879303779937
Pyrimethamine,7,0.024096054690224782,0.028563781996209153,0.0008158896419269622,-0.02393852071438535,0.07142857142857144,-0.8337673951056557,0.9984951861942163,1.187386134490047
QL-X-138,24,0.018396060913801193,0.02114643686501902,0.0004471717920862354,0.9059412613156453,0.9086956521739129,0.7606017715091362,0.7511292402100321,0.8652162144438934
QL-XI-92,21,0.013261363619849795,0.015886541987385417,0.0002523822163169598,0.8833691091199284,0.8999999999999999,0.6292918463583799,0.5513104704806118,0.6618950948291566
QL-XII-47,32,0.027484221383929253,0.03536883621696695,0.0012509545753426332,0.7699425779331611,0.7756598240469207,0.5716826094160645,1.1182845055944022,1.4370011451280806
QS11,26,0.030589586267104514,0.035996162781061936,0.0012957237349607085,0.645862962166869,0.6164102564102564,0.23860939772024525,1.26388265879845,1.4885843727010803
Quizartinib,25,0.010417168140411376,0.013564200972399517,0.000183987548019644,0.6025784488749554,0.6869230769230769,0.1972508879572603,0.4225053318239158,0.5486624165269689
RO-3306,25,0.01866809606552124,0.02180006226693424,0.00047524271484221,0.4541205274701927,0.5038461538461538,-0.017374564487359745,0.7693150340856691,0.9006906020099025
Rapamycin,18,0.03583452602227529,0.04732456551321309,0.0022396145010143975,0.7220925729026715,0.739938080495356,0.2419067047064325,1.4864607455056007,1.9911911424513005
Refametinib,45,0.019034804238213434,0.023520779301866905,0.0005532270589671305,0.840676132332664,0.8109621533435293,0.7049313492727189,0.7708090595394584,0.9510152414972789
Rucaparib,32,0.018033504486083984,0.02147077483025865,0.00046099417181166835,0.5640031170811559,0.4659090909090909,0.2892742301836033,0.7427842567372385,0.8826933850434224
Ruxolitinib,28,0.015756781612123762,0.017785998808954716,0.00031634175363213856,0.6422367734426038,0.6677613574165299,-0.4953631554984026,0.6547418727329309,0.7399231372672628
S-Trityl-L-cysteine,10,0.036748862266540526,0.04114221347800556,0.0016926817298697828,0.1874458108754808,0.23636363636363633,-0.43691957102748713,1.482293798949471,1.6613114858281037
SB-505124,35,0.017553000790732246,0.020576468401943,0.00042339105189615877,0.5331281474706163,0.4627450980392157,-0.36049407148617374,0.735942192345802,0.864785669731241
SB216763,22,0.021689507094296543,0.0248465380777237,0.0006173504544477737,0.4380351377985427,0.5143986448334276,-0.22833745129005112,0.9120194032364463,1.047504729208594
SB52334,23,0.025619242502295452,0.030757251281745186,0.0009460085064084158,0.5568206261559786,0.6828063241106719,0.1643476161847397,1.0684460254735217,1.2756188515334224
SB590885,23,0.02101696315019027,0.025135082661976497,0.0006317723804243915,0.2988119955107247,0.45553359683794475,-1.8156529161900266,0.8696392574435569,1.0374573631858501
SGC0946,20,0.009242081642150879,0.011149651485288271,0.00012431472824339095,0.6510775684899959,0.49624060150375937,0.19097411747379023,0.3740303067655665,0.45138635327480814
