feature_name,reference_mean,reference_std,reference_min,reference_max,reference_nonzero_rate
CYP2A7,0.022071307300509338,0.14691550188647812,0.0,1.0,0.022071307300509338
CYP2B7P,0.001697792869269949,0.04116928914425179,0.0,1.0,0.001697792869269949
CYP2B6,0.01867572156196944,0.13537702532597362,0.0,1.0,0.01867572156196944
CYP2A13,0.01867572156196944,0.1353770253259734,0.0,1.0,0.01867572156196944
CYP2F1,0.030560271646859084,0.17212304158284303,0.0,1.0,0.030560271646859084
CYP2S1,0.01867572156196944,0.13537702532597357,0.0,1.0,0.01867572156196944
AXL,0.057724957555178265,0.2332226121765019,0.0,1.0,0.057724957555178265
HNRNPUL1,0.042444821731748725,0.2016017332264501,0.0,1.0,0.042444821731748725
CCDC97,0.013582342954159592,0.11574913785439256,0.0,1.0,0.013582342954159592
TGFB1,0.044142614601018676,0.20541188908435792,0.0,1.0,0.044142614601018676
B9D2,0.006791171477079796,0.08212826229166584,0.0,1.0,0.006791171477079796
TMEM91,0.011884550084889643,0.10836654259580916,0.0,1.0,0.011884550084889643
EXOSC5,0.008488964346349746,0.09174367460853158,0.0,1.0,0.008488964346349746
BCKDHA,0.015280135823429542,0.12266480046307954,0.0,1.0,0.015280135823429542
B3GNT8,0.028862478777589132,0.16741993936327376,0.0,1.0,0.028862478777589132
DMAC2,0.011884550084889643,0.1083665425958094,0.0,1.0,0.011884550084889643
ERICH4,0.006791171477079796,0.08212826229166582,0.0,1.0,0.006791171477079796
CEACAM21,0.015280135823429542,0.12266480046307952,0.0,1.0,0.015280135823429542
CEACAM4,0.013582342954159592,0.11574913785439266,0.0,1.0,0.013582342954159592
CEACAM7,0.010186757215619695,0.10041407865956707,0.0,1.0,0.010186757215619695
CEACAM5,0.01697792869269949,0.12918853908147185,0.0,1.0,0.01697792869269949
CEACAM6,0.008488964346349746,0.09174367460853182,0.0,1.0,0.008488964346349746
CEACAM3,0.015280135823429542,0.12266480046307951,0.0,1.0,0.015280135823429542
LYPD4,0.015280135823429542,0.12266480046307938,0.0,1.0,0.015280135823429542
DMRTC2,0.008488964346349746,0.09174367460853168,0.0,1.0,0.008488964346349746
RPS19,0.0050933786078098476,0.07118592629282387,0.0,1.0,0.0050933786078098476
CD79A,0.022071307300509338,0.1469155018864782,0.0,1.0,0.022071307300509338
ARHGEF1,0.044142614601018676,0.20541188908435792,0.0,1.0,0.044142614601018676
ERFL,0.01867572156196944,0.13537702532597376,0.0,1.0,0.01867572156196944
RABAC1,0.0050933786078098476,0.07118592629282394,0.0,1.0,0.0050933786078098476
ATP1A3,0.05602716468590832,0.22997417573102946,0.0,1.0,0.05602716468590832
GRIK5,0.022071307300509338,0.14691550188647812,0.0,1.0,0.022071307300509338
ZNF574,0.035653650254668934,0.18542509937488644,0.0,1.0,0.035653650254668934
POU2F2,0.03395585738539898,0.18111559053439175,0.0,1.0,0.03395585738539898
DEDD2,0.02037351443123939,0.14127432300655138,0.0,1.0,0.02037351443123939
ZNF526,0.025466893039049237,0.15753834580186143,0.0,1.0,0.025466893039049237
GSK3A,0.01867572156196944,0.13537702532597357,0.0,1.0,0.01867572156196944
ERF,0.04074702886247878,0.19770358747721034,0.0,1.0,0.04074702886247878
CIC,0.1307300509337861,0.337104886818087,0.0,1.0,0.1307300509337861
PRR19,0.011884550084889643,0.10836654259580936,0.0,1.0,0.011884550084889643
TMEM145,0.027164685908319185,0.16256311312170943,0.0,1.0,0.027164685908319185
MEGF8,0.1460101867572156,0.3531164285619393,0.0,1.0,0.1460101867572156
CNFN,0.008488964346349746,0.09174367460853179,0.0,1.0,0.008488964346349746
LIPE,0.05263157894736842,0.22329687826943664,0.0,1.0,0.05263157894736842
CXCL17,0.001697792869269949,0.041169289144251754,0.0,1.0,0.001697792869269949
CEACAM1,0.023769100169779286,0.15232901905709975,0.0,1.0,0.023769100169779286
CEACAM8,0.01867572156196944,0.1353770253259736,0.0,1.0,0.01867572156196944
RPS10P28,0.006791171477079796,0.08212826229166595,0.0,1.0,0.006791171477079796
PSG3,0.06281833616298811,0.2426359264509326,0.0,1.0,0.06281833616298811
PSG8,0.030560271646859084,0.1721230415828435,0.0,1.0,0.030560271646859084
PSG1,0.030560271646859084,0.1721230415828433,0.0,1.0,0.030560271646859084
PSG6,0.027164685908319185,0.1625631131217094,0.0,1.0,0.027164685908319185
PSG7,0.022071307300509338,0.146915501886478,0.0,1.0,0.022071307300509338
PSG11,0.011884550084889643,0.10836654259580929,0.0,1.0,0.011884550084889643
PSG2,0.025466893039049237,0.15753834580186157,0.0,1.0,0.025466893039049237
PSG5,0.013582342954159592,0.11574913785439232,0.0,1.0,0.013582342954159592
PSG4,0.022071307300509338,0.1469155018864781,0.0,1.0,0.022071307300509338
PSG9,0.027164685908319185,0.1625631131217097,0.0,1.0,0.027164685908319185
CD177,0.013582342954159592,0.11574913785439249,0.0,1.0,0.013582342954159592
TEX101,0.015280135823429542,0.12266480046307918,0.0,1.0,0.015280135823429542
LYPD3,0.015280135823429542,0.12266480046307959,0.0,1.0,0.015280135823429542
PHLDB3,0.04074702886247878,0.19770358747721054,0.0,1.0,0.04074702886247878
ETHE1,0.023769100169779286,0.15232901905709995,0.0,1.0,0.023769100169779286
ZNF575,0.011884550084889643,0.10836654259580927,0.0,1.0,0.011884550084889643
XRCC1,0.023769100169779286,0.15232901905709992,0.0,1.0,0.023769100169779286
PINLYP,0.0050933786078098476,0.07118592629282379,0.0,1.0,0.0050933786078098476
IRGQ,0.03395585738539898,0.18111559053439175,0.0,1.0,0.03395585738539898
ZNF576,0.001697792869269949,0.0411692891442518,0.0,1.0,0.001697792869269949
ZNF428,0.0050933786078098476,0.07118592629282382,0.0,1.0,0.0050933786078098476
SRRM5,0.013582342954159592,0.11574913785439242,0.0,1.0,0.013582342954159592
CADM4,0.022071307300509338,0.14691550188647837,0.0,1.0,0.022071307300509338
PLAUR,0.010186757215619695,0.10041407865956703,0.0,1.0,0.010186757215619695
